instruction,name,description
question about cancelling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i have a question about cancelling oorder {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i need help cancelling puchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
I need to cancel purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
"I cannot afford this order, cancel purchase {{Order Number}}",Order Cancellation Requests,Customer queries about canceling their orders.
can you help me cancel order {{Order Number}}?,Order Cancellation Requests,Customer queries about canceling their orders.
"I can no longer afford order {{Order Number}}, cancel it",Order Cancellation Requests,Customer queries about canceling their orders.
I am trying to cancel purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
I have got to cancel purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i need help canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i dont know what to do to cancel order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
I have a problem with cancelling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
problem with canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
can you help me canceling order {{Order Number}}?,Order Cancellation Requests,Customer queries about canceling their orders.
help  me canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
can you help me cancel purchase {{Order Number}}?,Order Cancellation Requests,Customer queries about canceling their orders.
what do I have to do to cancel purchase {{Order Number}}?,Order Cancellation Requests,Customer queries about canceling their orders.
"I bought the same item twice, cancel order {{Order Number}}",Order Cancellation Requests,Customer queries about canceling their orders.
need help with canceling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i want assistance canceling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
I'm trying to cancel order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i have problems with canceling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
assistance with cancelling pucrhase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
need help with canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
help cnceling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i want assistance cancelling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
need assistance cancelling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
problem with cancelling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
assistnace cancelling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
have a problem with canceling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i need help with canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
assistance with cancelling pucrhase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
want assistance to cancel order  {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i do not know how i can cancel purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
need assistance to cancel order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
can you help me cancel purchase {{Order Number}}?,Order Cancellation Requests,Customer queries about canceling their orders.
I can no longer afford purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i need assistance canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
I would like to cancel purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i do not want these article i try to cancel order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
i need help to cancel purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
I have got to cancel purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
problems with cancelling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
I need help canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
assistance canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
could ya help me cancel order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
could you help me cancelling order {{Order Number}} ?,Order Cancellation Requests,Customer queries about canceling their orders.
cance order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
assistance cancelling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
assistance with canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
canceling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
how to cancel order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
help me cancelling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
have a question about cancelling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
I can't afford purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
assistance with canceling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
"I ordered some item, cancel purchase {{Order Number}}",Order Cancellation Requests,Customer queries about canceling their orders.
i need help cancelling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
"I can't afford order {{Order Number}}, help me cancelling it",Order Cancellation Requests,Customer queries about canceling their orders.
I do not know how I can cancel purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
I try to cancel purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
problem with cancelling order {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
"I cannot pay for the last purchase I have made, cancel it",Order Cancellation Requests,Customer queries about canceling their orders.
help me cancelling purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
could you help me cancel purchase {{Order Number}}?,Order Cancellation Requests,Customer queries about canceling their orders.
I want to cancle purchase {{Order Number}},Order Cancellation Requests,Customer queries about canceling their orders.
