instruction,name,description
question about cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i have a question about cancelling oorder {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help cancelling puchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I cannot afford this order, cancel purchase {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can you help me cancel order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I can no longer afford order {{Order Number}}, cancel it",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I am trying to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have got to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i dont know what to do to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have a problem with cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
problem with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can you help me canceling order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help  me canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can you help me cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
what do I have to do to cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I bought the same item twice, cancel order {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need help with canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i want assistance canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I'm trying to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i have problems with canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance with cancelling pucrhase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need help with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help cnceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i want assistance cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need assistance cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
problem with cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistnace cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
have a problem with canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance with cancelling pucrhase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
want assistance to cancel order  {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i do not know how i can cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need assistance to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can you help me cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I can no longer afford purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need assistance canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I would like to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i do not want these article i try to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have got to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
problems with cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
could ya help me cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
could you help me cancelling order {{Order Number}} ?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cance order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
how to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help me cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
have a question about cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I can't afford purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I ordered some item, cancel purchase {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I can't afford order {{Order Number}}, help me cancelling it",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I do not know how I can cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I try to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
problem with cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I cannot pay for the last purchase I have made, cancel it",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help me cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
could you help me cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want to cancle purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help me to cancel my  last goddamn purchase,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have a problem witrh cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can  uhelp me canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
problems with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistancde cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I bought some item, cancel order {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need help with cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I can't pay for this item, can I cancel order {{Order Number}}?",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help cacneling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
where could I cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i bought some damn item help to cancep order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
want assistance to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I have got to cancel purchase {{Order Number}}, help me",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
whag do i need to do to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want assistance canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I can no longer afford purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want assistance to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cancelling order,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i want help cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
what do I have to do to cancel order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can you help me to cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I do not know how I can cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i want help to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
how do i cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I bought some articles, help me to cancel order {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need assistance cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
where to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want help canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want help cancellkng purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help with cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want assistance to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want assistance to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need assistance cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
where can I cancel order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
have problems with canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
where can I cancel order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I can no longer pay for order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I can't afford purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I would like to cancel purchase {{Order Number}}, I need help",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i do not know how to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help with cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i want help cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I can no longer afford order {{Order Number}}, help me cancel it",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need assistance canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have problems with cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want assistance canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
would it be possible to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
could you help me canceling purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I want help to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help with cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cance order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can uhelp me cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
how could icancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need assistance canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i do not knwo how to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I have ordered some article, cancel purchase {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
have problems with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i no longer want purchase  {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
want help to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
question about canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
is it possible to cancel purchase {{Order Number}} ?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
have a question about cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
iwant assistance canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
have problems with canceling order  {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i wan help to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help cancelling puchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I can no longer afford order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I have got to cancel purchase {{Order Number}}, how do I do it?",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help with canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance with canceling oreder {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
problems with cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
is it possible to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i do not know how to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I no longer want purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can you help me cancelling purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I don't want purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I bought some items, I need help to cancel purchase {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
could you help me cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
problem with cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
where do i cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need help with cancelliing order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have problems with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
is it possible to cancel order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i havegot to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I cannot pay for this product, cancel order {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I don't know how I can cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
would you give me information about cancelling orders?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I can't afford my last item, cancel purchase {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I cannot afford order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
have problems with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have a problem with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
question about canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have got to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I can't afford order {{Order Number}}, could I cancel it?",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i dont know how to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I don't want this item, help me cancel purchase {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need assistance with canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
have a problem with cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I can't afford this product, cancel order {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cancel purchase  {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
could you help me canceling purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i try to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can you help me cancelling order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
what do I ned to do to cancel order {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I have bought some items, help canceling purchase {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I can't afford purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
canmcel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
help with canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need help to cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i can no longer afford order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I can no longer pay for order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i have problems with canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I have problems with cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I purchased some item, help canceling one of the orders",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need helpto cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
camceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i purchased some fucking item cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
want assistance to cancel pyrchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need assistance to cancel order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need help with canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I have ordered some item, cancel purchase {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i can no longer pay for purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
"I do not want this item, cancel order {{Order Number}}",Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
i need assistance cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
ened help with cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I need assistance cancelling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
can ya help me cancel purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
want assistance cancelling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
need help with canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
I can no longer pay for purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
want assistance canceling order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
is it possible to cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
cance order {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
assistance canceling purchase {{Order Number}},Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
what do I need to do to cancel purchase {{Order Number}}?,Cluster Title: Cancel Order,These questions are from customers who want to cancel an order they have placed.
